Authors;Author(s) ID;Title;Year;Source title;Volume;Cited by;DOI;Link;Affiliations;Abstract;Author Keywords;Index Keywords;Publisher;PubMed ID;Document Type;Source;EID
Goud P.S.--Sastry P.N.--Sekhar P.C.;58626099900--55580271600--58634841400;A novel intelligent deep optimized framework for heart disease prediction and classification using ECG signals;2024;Multimedia Tools and Applications;83;0;10.1007/s11042-023-16850-4;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172764256&doi=10.1007%2fs11042-023-16850-4&partnerID=40&md5=1883fa16342bd761e4d284e519bdf951;Department of Electronics and Communication Engineering, G. Narayanamma Institute of Technology and Science (for Women), Hyderabad, Telangana, 500104, India--Department of Electronics and Communication Engineering, Chaitanya Bharathi Institute of Technology (CBIT), Hyderabad, Telangana, 500075, India--Department of Electronics and Communication Engineering, Osmania University, Telangana, Hyderabad, 500007, India;The advancement in medical diagnosis approaches increases the demand for effective disease prediction and classification system. Although, various machine learning (ML) based disease classification techniques were developed, they face severe issues. Hence, a novel optimized framework named as Wolf based Generative Adversarial System (WbGAS) system was designed to predict and specify the heart disease using Electrocardiogram (ECG) database. The collected dataset contains three classes namely Normal Sinus Rhythm (NSR), Arrhythmia (ARR), and Congestive Heart Failure (CHF). The dataset is initialized and trained using the proposed (WbGAS) approach to predict the normal and abnormal signals present in dataset. In addition, the integration of wolf fitness function in the presented approach provides finest prediction rate. Moreover, the type of heart disease is specified based on the trained features. Also, a case study was presented with three different cases to explain the functioning of designed (WbGAS) approach. The designed model is implemented in MATLAB software and then, the performance of the system is determined as specificity, recall, accuracy, and precision value. At the end, to verify the results of the developed technique a comparative assessment was performed by comparing the outcomes of presented approach with existing ML based approaches. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2023.;Arrhythmia--Generative adversarial network--Grey wolf algorithm--Heart disease classification--Heart failure;Cardiology--Diseases--Electrocardiograms--Forecasting--Generative adversarial networks--Heart--Adversarial system--Arrhythmia--Disease classification--Gray wolf algorithm--Gray wolves--Heart disease--Heart disease classification--Heart failure--Machine-learning--Systems approach--MATLAB;Springer;;Article;Scopus;2-s2.0-85172764256
Anda U.--Andreea-Sorina M.--Laurentiu P.C.--Dan R.--Rodica N.--Ruxandra S.--Catalin S.--Gabriel I.D.;58064617800--58064617900--58064028800--58064148500--58064618000--58064849100--58064733900--57194512045;Learning deep architectures for the interpretation of first-trimester fetal echocardiography (LIFE) - a study protocol for developing an automated intelligent decision support system for early fetal echocardiography;2023;BMC Pregnancy and Childbirth;23;5;10.1186/s12884-022-05204-x;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146217954&doi=10.1186%2fs12884-022-05204-x&partnerID=40&md5=70537f7ea13730b36c61026191a75517;Department of Paediatric Cardiology, University Emergency County Hospital Craiova, Tabaci, no.1, Craiova, 200642, Romania--Department of Obstetrics and Gynecology, University of Medicine and Pharmacy Craiova, Petru Rares, no. 2, Craiova, 200412, Romania--Department of Obstetrics and Gynecology, University Emergency County Hospital Craiova, Romania Tabaci, no.1, Craiova, 200642, Romania--MEDGIN / GINECHO Clinic, 1 Mai, no. 29, Craiova, 200333, Romania--Romanian Institute of Science and Technology, Virgil Fulicea, no. 3, Cluj Napoca, 400022, Romania--Department of Computer Science, University of Craiova, A.I. Cuza, 13, Craiova, 200585, Romania;Background: Congenital Heart Disease represents the most frequent fetal malformation. The lack of prenatal identification of congenital heart defects can have adverse consequences for the neonate, while a correct prenatal diagnosis of specific cardiac anomalies improves neonatal care neurologic and surgery outcomes. Sonographers perform prenatal diagnosis manually during the first or second-trimester scan, but the reported detection rates are low. This project’s primary objective is to develop an Intelligent Decision Support System that uses two-dimensional video files of cardiac sweeps obtained during the standard first-trimester fetal echocardiography (FE) to signal the presence/absence of previously learned key features. Methods: The cross-sectional study will be divided into a training part of the machine learning approaches and the testing phase on previously unseen frames and eventually on actual video scans. Pregnant women in their 12–13 + 6 weeks of gestation admitted for routine first-trimester anomaly scan will be consecutively included in a two-year study, depending on the availability of the experienced sonographers in early fetal cardiac imaging involved in this research. The Data Science / IT department (DSIT) will process the key planes identified by the sonographers in the two- dimensional heart cine loop sweeps: four-chamber view, left and right ventricular outflow tracts, three vessels, and trachea view. The frames will be grouped into the classes representing the plane views, and then different state-of-the- art deep-learning (DL) pre-trained algorithms will be tested on the data set. The sonographers will validate all the intermediary findings at the frame level and the meaningfulness of the video labeling. Discussion: FE is feasible and efficient during the first trimester. Still, the continuous training process is impaired by the lack of specialists or their limited availability. Therefore, in our study design, the sonographer benefits from a second opinion provided by the developed software, which may be very helpful, especially if a more experienced colleague is unavailable. In addition, the software may be implemented on the ultrasound device so that the process could take place during the live examination. Trial registration: The study is registered under the name „Learning deep architectures for the Interpretation of Fetal Echocardiography (LIFE)”, project number 408PED/2020, project code PN-III-P2–2.1-PED-2019. Trial registration: ClinicalTrials.gov, unique identifying number NCT05090306, date of registration 30.10.2020. © 2023, The Author(s).;Artificial intelligence--Decision support systems--Echocardiography--Fetal cardiology;Article--artificial intelligence--cardiac imaging--cardiology--color Doppler flowmetry--congenital heart disease--cross-sectional study--data interpretation--data visualization--decision support system--deep learning--echocardiography--female--fetus echography--first trimester pregnancy--health care personnel--heart disease--heart left ventricle outflow tract--heart right ventricle outflow tract--human--machine learning--pregnant woman--prenatal diagnosis--second trimester pregnancy--sonographer--ultrasound;BioMed Central Ltd;;Article;Scopus;2-s2.0-85146217954
Javeed A.--Berglund J.S.--Dallora A.L.--Saleem M.A.--Anderberg P.;57208128760--55196737700--57192586084--57212779889--16300508700;Predictive Power of XGBoost_BiLSTM Model: A Machine-Learning Approach for Accurate Sleep Apnea Detection Using Electronic Health Data;2023;International Journal of Computational Intelligence Systems;16;2;10.1007/s44196-023-00362-y;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177889861&doi=10.1007%2fs44196-023-00362-y&partnerID=40&md5=8d769239bd03f0ca79d6c9981c04a5de;Aging Research Center, Karolinska Institutet, Tomtebodavägen 18a, Stockholm, Slona, 17165, Sweden--Department of Health, Blekinge Institute of Technology, Valhallavägen 1, Blekinge, Karlskrona, 37179, Sweden--Center of Excellence in Artificial Intelligence, Machine Learning and Smart Grid Technology, Chulalongkorn University, Jan Waldenströms g. 35, Bangkok, Bangkok, 10330, Thailand--School of Health Sciences, University of Skövde, Högskolevägen 1, Västra Götaland, Skövde, 54128, Sweden;Sleep apnea is a common disorder that can cause pauses in breathing and can last from a few seconds to several minutes, as well as shallow breathing or complete cessation of breathing. Obstructive sleep apnea is strongly associated with the risk of developing several heart diseases, including coronary heart disease, heart attack, heart failure, and stroke. In addition, obstructive sleep apnea increases the risk of developing irregular heartbeats (arrhythmias), which can lead to low blood pressure. To prevent these conditions, this study presents a novel machine-learning (ML) model for predicting sleep apnea based on electronic health data that provides accurate predictions and helps in identifying the risk factors that contribute to the development of sleep apnea. The dataset used in the study includes 75 features and 10,765 samples from the Swedish National Study on Aging and Care (SNAC). The proposed model is based on two modules: the XGBoost module assesses the most important features from feature space, while the Bidirectional Long Short-Term Memory Networks (BiLSTM) module classifies the probability of sleep apnea. Using a cross-validation scheme, the proposed XGBoost_BiLSTM algorithm achieves an accuracy of 97% while using only the six most significant features from the dataset. The model’s performance is also compared with conventional long-short-term memory networks (LSTM) and other state-of-the-art ML models. The results of the study suggest that the proposed model improved the diagnosis and treatment of sleep apnea by identifying the risk factors. © 2023, The Author(s).;Computer vision--Deep learning--Feature engineering--Sleep apnea;Blood pressure--Brain--Cardiology--Computer vision--Diagnosis--Diseases--E-learning--Health risks--Heart--Learning systems--Sleep research--Deep learning--Electronic health--Feature engineerings--Health data--Machine learning models--Memory network--Obstructive sleep apnea--Predictive power--Risk factors--Sleep apnea--Long short-term memory;Springer Science and Business Media B.V.;;Article;Scopus;2-s2.0-85177889861
Saikumar K.--Rajesh V.;56800861100--57203775476;A machine intelligence technique for predicting cardiovascular disease (CVD) using Radiology Dataset;2024;International Journal of System Assurance Engineering and Management;15;12;10.1007/s13198-022-01681-7;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131442226&doi=10.1007%2fs13198-022-01681-7&partnerID=40&md5=3d800568867e1b3255c6bd1cd8ff3223;Department of ECE, Koneru Lakshmaiah Education Foundation, Guntur, India;Heart disease is a serious medical problem that affects a large number of people and their lives--cardiac disease (CAD) is one of these threats. There is no substantial study in medical research that focuses on sophisticated planning techniques to uncover links and patterns in data. CAD is a serious health problem that affects people all over the world, especially in low- and middle-income nations. Therefore a low economic heart disease diagnostic application is necessary to crossover the subsequent limitation. Because of this social activity in the present situation, there should be an efficient as well as low economy heart disease diagnosis application design is compulsory. So, in this work RCNN based model has been designed for future generations. Various forms of Deep learning and intelligent technologies are used to extract important information in the case of predicting heart disease. However, the ideal findings’ discovering metrics such as sensitivity, F1-score, and reliability are not satisfactory. In this study of research, proposes a CAD risk prediction model using RCNN is a DL (Deep Learning) technique. In the next two decades, it will continue to be the leading cause of death. The major goal of this study is to apply the findings to existing methodologies. ML (Machine Learning) Techniques are employed to improve a doctor’s treatment decisions and diagnosis using Artificial Intelligence (AI). This work extremely examines the key components of systems, as well as relevant theories such as Gaussian Navies Bayes, Decision Tree (DT), K-NN, and RCNN. The suggested methodology combines AI and data mining to produce precise results with low error rates. This study sets the stage for the improvement of a novel risk prediction model in the field of CAD, with results such as accuracy 99.173%, precision 99.164%, recall 98.69%, sensitivity 98.3%, and specificity 0.0009. The findings that follow outperform the methods and compete with current technology. © 2022, The Author(s) under exclusive licence to The Society for Reliability Engineering, Quality and Operations Management (SREQOM), India and The Division of Operation and Maintenance, Lulea University of Technology, Sweden.;ARF--Cardiac disease--Deep learning--RCNN;Data mining--Decision trees--Deep learning--Diagnosis--Diseases--Forecasting--Heart--Nearest neighbor search--ARF--Cardiac disease--Cardiovascular disease--Deep learning--Heart disease--Machine intelligence--Medical research--Number of peoples--RCNN--Risk prediction models--Cardiology;Springer;;Article;Scopus;2-s2.0-85131442226
Abdellatif A.--Mubarak H.--Abdellatef H.--Kanesan J.--Abdelltif Y.--Chow C.-O.--Huang Chuah J.--Muwafaq Gheni H.--Kendall G.;57304215000--57209272333--57358838000--26434800000--58661110200--16241084600--50161306600--57903571700--7006008493;Computational detection and interpretation of heart disease based on conditional variational auto-encoder and stacked ensemble-learning framework;2024;Biomedical Signal Processing and Control;88;1;10.1016/j.bspc.2023.105644;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174709260&doi=10.1016%2fj.bspc.2023.105644&partnerID=40&md5=8cd75d28f30f63a98a6afd73a574b11d;Department of Electrical Engineering, Faculty of Engineering, Universiti Malaya, Kuala Lumpur, 50603, Malaysia--School of Engineering and Built Environment, Griffith University, Southport, 4222, QLD, Australia--School of Engineering - Electrical & Computer Engineering Department, Lebanese American University, Byblos, Lebanon--Faculty of Medicine, Beirut Arab University, Riad El Solh, 11-5020, Beirut, 11072809, Lebanon--Computer Techniques Engineering Department, Al-Mustaqbal University College, Hillah, 51001, Iraq--School of Computer Science, University of Nottingham Malaysia Campus, Selangor, Semenyih, 43500, Malaysia--School of Computer Science, University of Nottingham, University Park, Nottingham, NG7 2RD, United Kingdom;Worldwide, cardiovascular disease is the leading cause of death. Based on clinical data, a Machine Learning (ML) system can detect cardiac disease in its early stages, which enables a reduction in mortality rates. However, imbalanced and high dimensionality data have been a persistent challenge in ML, impeding accurate predictive data analysis in many real-world applications, such as the detection of cardiovascular disease. To address this, computational methods targeting heart disease detection have been developed. However, their performance is still inadequate. Hence, this study presents a new stack predictor for the heart disease model (termed SPFHD). SPFHD employs five common tree-based ensemble learning algorithms as base models for heart disease detection. In addition, the predictions from the base models are integrated using a support vector machine algorithm to enhance the accuracy of heart disease detection. A new conditional variational autoencoder (CVAE) based method is developed to overcome the imbalance issue, which performs better than the conventional balancing methods. Finally, the SPFHD model is tuned by Bayesian optimization. The results show that the proposed SPFHD model outperforms the state-of-art methods over four datasets achieving higher f1-score of 4.68 %, 4.55 %, 2 %, and 1 % for HD clinical, Z-Alizadeh Sani, Statlog, and Cleveland, respectively. Moreover, this new framework offers vital interpretations which assist in understanding model success by leveraging the powerful SHapley Additive explanation (SHAP) algorithm. This highlights the most significant attributes for detecting heart disease and overcoming the limitations of current 'Black-box' methods that cannot reveal causal relationships between features. © 2023 Elsevier Ltd;Conditional variational auto-encoder--Heart disease--Hyperparameter optimization--SHAP--Stacking ensemble learning--Tree ensemble;Balancing--Cardiology--Heart--Learning algorithms--Learning systems--Signal encoding--Support vector machines--Auto encoders--Conditional variational auto-encoder--Ensemble learning--Heart disease--Hyper-parameter optimizations--Shapley--Shapley additive explanation--Stacking ensemble learning--Stackings--Tree ensembles--Article--artificial neural network--autoencoder--cardiovascular disease--cardiovascular risk factor--classification--classifier--comparative study--controlled study--convolutional neural network--deep neural network--electrocardiogram--feature selection--genetic algorithm--heart disease--heart failure--human--k nearest neighbor--learning--learning algorithm--machine learning--major clinical study--methodology--minority group--particle swarm optimization--prediction--principal component analysis--random forest--risk assessment--sleep apnea syndromes--support vector machine--Diseases;Elsevier Ltd;;Article;Scopus;2-s2.0-85174709260
Sun B.--Fang Y.--Yang H.--Meng F.--He C.--Zhao Y.--Zhao K.--Zhang H.;58991900800--57221328146--57216415104--58991996400--57733469300--57196044043--55822410400--14120508400;The combination of deep learning and pseudo-MS image improves the applicability of metabolomics to congenital heart defect prenatal screening;2024;Talanta;275;0;10.1016/j.talanta.2024.126109;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190717006&doi=10.1016%2fj.talanta.2024.126109&partnerID=40&md5=198d368f1ed26741647bfacfada149bf;Institute of Reproductive Health, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, 430030, China--Center for Reproductive Medicine, Department of Obstetrics and Gynecology, Peking University Third Hospital, No. 49, North Garden Road, Haidian district, Beijing, 100191, China--National Clinical Research Center for Obstetrics and Gynecology, Peking University Third Hospital, Beijing, 100191, China--State Key Laboratory of Female Fertility Promotion, Department of Obstetrics and Gynecology, Peking University Third Hospital, Beijing, 100191, China--Key Laboratory of Assisted Reproduction, Ministry of Education, Peking University, Beijing, 100191, China--Beijing Key Laboratory of Reproductive Endocrinology and Assisted Reproductive Technology, Beijing, 100191, China--Department of Obstetrics, Maternal and Child Health Hospital of Hubei Province, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, 430070, China;To investigate the metabolic alterations in maternal individuals with fetal congenital heart disease (FCHD), establish the FCHD diagnostic models, and assess the performance of these models, we recruited two batches of pregnant women. By metabolomics analysis using Ultra High-performance Liquid Chromatography-Mass/Mass (UPLC-MS/MS), a total of 36 significantly altered metabolites (VIP >1.0) were identified between FCHD and non-FCHD groups. Two logistic regression models and four support vector machine (SVM) models exhibited strong performance and clinical utility in the training set (area under the curve (AUC) = 1.00). The convolutional neural network (CNN) model also demonstrated commendable performance and clinical utility (AUC = 0.89 in the training set). Notably, in the validation set, the performance of the CNN model (AUC = 0.66, precision = 0.714) exhibited better robustness than the six models above (AUC≤0.50). In conclusion, the CNN model based on pseudo-MS images holds promise for real-world and clinical applications due to its better repeatability. © 2024 Elsevier B.V.;Congenital heart disease--Convolutional neural networks--Diagnostic model--Metabolomics;Cardiology--Convolution--Convolutional neural networks--Deep learning--Diagnosis--Diseases--High performance liquid chromatography--Image enhancement--Metabolites--Support vector machines--Areas under the curves--Clinical utility--Congenital heart disease--Convolutional neural network--Diagnostic model--Metabolomics--Neural network model--Performance--Performance utilities--Training sets--Neural network models;Elsevier B.V.;;Article;Scopus;2-s2.0-85190717006
Cai C.--Imai T.--Hasumi E.--Fujiu K.;58917306300--55631010100--21233243100--6602492977;One-shot screening: Utilization of a two-dimensional convolutional neural network for automatic detection of left ventricular hypertrophy using electrocardiograms;2024;Computer Methods and Programs in Biomedicine;247;0;10.1016/j.cmpb.2024.108097;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186550035&doi=10.1016%2fj.cmpb.2024.108097&partnerID=40&md5=98fe467d6deb52d5d831d4513ebd5e92;Center for Disease Biology and Integrative Medicine, Graduate School of Medicine, The University of Tokyo, Japan--Department of Cardiovascular Medicine, The University of Tokyo Hospital, Japan;Background and Objective: Left ventricular hypertrophy (LVH) can impair ejection function and elevate the risk of heart failure. Therefore, early detection through screening is crucial. This study aimed to propose a novel method to enhance LVH detection using 12-lead electrocardiogram (ECG) waveforms with a two-dimensional (2D) convolutional neural network (CNN). Methods: Utilizing 42,127 pairs of ECG-transthoracic echocardiogram data, we pre-processed raw data into single-shot images derived from each ECG lead and conducted lead selection to optimize LVH diagnosis. Our proposed one-shot screening method, implemented during pre-processing, enables the superimposition of waveform source data of any length onto a single-frame image, thereby addressing the limitations of the one-dimensional (1D) approach. We developed a deep learning model with a 2D-CNN structure and machine learning models for LVH detection. To assess our method, we also compared our results with conventional ECG criteria and those of a prior study that used a 1D-CNN approach, utilizing the same dataset from the University of Tokyo Hospital for LVH diagnosis. Results: For LVH detection, the average area under the receiver operating characteristic curve (AUROC) was 0.916 for the 2D-CNN model, which was significantly higher than that obtained using logistic regression and random forest methods, as well as the two conventional ECG criteria (AUROC of 0.766, 0.790, 0.599, and 0.622, respectively). Incorporating additional metadata, such as ECG measurement data, further improved the average AUROC to 0.921. The model's performance remained stable across two different annotation criteria and demonstrated significant superiority over the performance of the 1D-CNN model used in a previous study (AUROC of 0.807). Conclusions: This study introduces a robust and computationally efficient method that outperforms 1D-CNN models utilized in previous studies for LVH detection. Our method can transform waveforms of any length into fixed-size images and leverage the selected lead of the ECG, ensuring adaptability in environments with limited computational resources. The proposed method holds promise for integration into clinical practice as a tool for early diagnosis, potentially enhancing patient outcomes by facilitating earlier treatment and management. © 2024;Convolutional neural network--Deep learning model--Echocardiography--Electrocardiogram--Ensemble neural network--Left ventricular hypertrophy;Echocardiography--Electrocardiography--Humans--Hypertrophy, Left Ventricular--Mass Screening--Neural Networks, Computer--Cardiology--Chemical detection--Convolution--Convolutional neural networks--Deep learning--Forestry--Learning systems--Pathology--Patient treatment--Automatic Detection--Convolutional neural network--Deep learning model--Ensemble neural network--Learning models--Left ventricular hypertrophies--Neural network model--Receiver operating characteristic curves--Two-dimensional--Waveforms--adult--Article--clinical practice--comparative study--controlled study--convolutional neural network--decision making--deep learning--early diagnosis--electrocardiogram--electrocardiography--female--heart left ventricle mass--human--k fold cross validation--left ventricular end-diastolic diameter--left ventricular hypertrophy--machine learning--major clinical study--male--middle aged--nerve cell network--sensitivity and specificity--transthoracic echocardiography--two dimensional echocardiography--waveform--artificial neural network--diagnostic imaging--echocardiography--left ventricular hypertrophy--mass screening--procedures--Electrocardiograms;Elsevier Ireland Ltd;38428250;Article;Scopus;2-s2.0-85186550035
Xu X.--Qi Z.--Han X.--Wang Y.--Yu M.--Geng Z.;57208263756--58295224800--57219804289--58850483300--58850717400--57190574732;Combined-task deep network based on LassoNet feature selection for predicting the comorbidities of acute coronary syndrome;2024;Computers in Biology and Medicine;170;0;10.1016/j.compbiomed.2024.107992;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183466579&doi=10.1016%2fj.compbiomed.2024.107992&partnerID=40&md5=a6b0236d8eac252480c8b2e87d9b038a;School of Computer and Artificial Intelligence, Liaoning Normal University, Dalian, 116029, China--Department of Statistics, University of Washington, Seattle, 98195, WA, United States--College of Artificial Intelligence, Dalian Maritime University, Dalian, 116026, China--Department of Cardiology, Second Affiliated Hospital of Dalian Medical University, Dalian, 116023, China;Acute coronary syndrome (ACS) is a multifaceted cardiovascular condition frequently accompanied by multiple comorbidities, which can have significant implications for patient outcomes and treatment approaches. Precisely predicting these comorbidities is crucial for providing personalized care and making well-informed clinical decisions. However, there is a shortage of research investigating the identification of risk factors associated with ACS comorbidities and accurately predicting their likelihood of occurrence beyond heart failure. In this study, an approach called Combined-task Deep Network based on LassoNet feature selection (CDNL) is presented for predicting ACS comorbidities, including hypertension, diabetes, hyperlipidemia, and heart failure. In order to identify crucial biomarkers associated with ACS comorbidities, the proposed framework first incorporates LassoNet, which extends Lasso regression to the deep network by adding a skip (residual) layer. Additionally, a correlation score calculation method across tasks is introduced based on measuring the overlap of identified biomarkers and their assigned importance. This method enables the development of an optimal combined-task prediction model for each ACS comorbidity, addressing the challenge of limited representations in traditional multi-task learning. Our evaluation, conducted through a meticulous cross-sectional study at a tertiary hospital in China, involved a dataset of 2941 samples with 42 clinical features. The results demonstrate that CDNL facilitates the identification of significant biomarkers and achieves an average improvement in AUC of 4.93% and 8.58% compared to deep learning multi-layer neural network (DNN) and SVM, respectively. Additionally, it shows an average improvement of 2.64% and 1.92% compared to two state-of-the-art multi-task models. © 2024 Elsevier Ltd;Acute coronary syndrome--Comorbidity--LassoNet--Multi-task learning;Acute Coronary Syndrome--Biomarkers--Comorbidity--Cross-Sectional Studies--Heart Failure--Humans--Cardiology--Deep learning--Feature Selection--Forecasting--Heart--Learning systems--Multilayer neural networks--Network layers--Patient treatment--Support vector machines--biological marker--biological marker--Acute coronary syndrome--Clinical decision--Comorbidities--Condition--Coronary syndromes--Features selection--Heart failure--Lassonet--Multitask learning--Network-based--acute coronary syndrome--area under the curve--Article--calculation--China--clinical feature--comorbidity--controlled study--cross-sectional study--deep learning--diabetes mellitus--feature selection--heart failure--human--hyperlipidemia--hypertension--least absolute shrinkage and selection operator--tertiary care center--acute coronary syndrome--comorbidity--complication--heart failure--Biomarkers;Elsevier Ltd;38242014;Article;Scopus;2-s2.0-85183466579
Venkatesh C.--Sivayamini L.--Supriya T.--Vijay Kumar J.--Vinay Kumar Reddy B.--Sujaritha N.;57200342155--57202019702--58900752000--58900662300--58900100600--58900100700;A Hybrid Model for the Detection and Classification of Cardiovascular Diseases Based on Deep Learning and Optimization Techniques;2024;Lecture Notes in Electrical Engineering;1096;0;10.1007/978-981-99-7137-4_73;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185722063&doi=10.1007%2f978-981-99-7137-4_73&partnerID=40&md5=cab9858eef130d0a586b7824d4ffc47f;Department of Electronics and Communication Engineering, Annamacharya Institute of Technology and Sciences, Rajampet, India;The leading global cause of death is cardiovascular disease (CVD), also referred to as heart disease. A recent World Heart Federation study shows that cardiovascular disease is responsible for one in every three deaths. Stress, alcohol, smoking, poor diet, lack of exercise, and other linked health issues including diabetes or high blood pressure can all contribute to cardiovascular disease. On the other hand, most cardiovascular disease. There is known to be a complete cure for linked disorders when detected early. Emerging novel data analysis strategies may allow for early detection of cardiovascular disease by examining a patient's medical file. Cardiovascular disease is currently predicted using clinical datasets and machine learning (ML) algorithms. However, because of the disparity in classes and high dimension, clinical datasets pose significant challenges. To address such issues, a dynamic model is proposed. In this paper, an effective decision support (or assistive) system is proposed by combining a deep learning classifier and an optimization technique to detect and classify cardiovascular diseases. It is expected that combining the two strategies will increase the effectiveness of current approaches for using clinical records to anticipate cardiovascular disease. According to clinical data and the severity level of the patient, a deep learning system can anticipate cardiovascular disease in its initial stages, lowering rates of death. The optimization method determines the best parameters for a sufficient quantity of synthesised samples to achieve the best prediction with an optimised classifier. In addition, various parameters such as accuracy, PSNR, sensitivity, specificity, and others were computed and compared with existing systems in this work. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2024.;Cardiovascular disease--Deep learning--Dynamic modal--Medical--Optimization;Blood pressure--Cardiology--Decision support systems--Deep learning--Diseases--Cardiovascular disease--Causes of death--Deep learning--Dynamic modal--Heart disease--Hybrid model--Learning techniques--Medical--Optimisations--Optimization techniques--Learning systems;Springer Science and Business Media Deutschland GmbH;;Conference paper;Scopus;2-s2.0-85185722063
Ma S.--Chen J.--Ho J.W.K.;58107416300--57194578277--14527168600;An edge-device-compatible algorithm for valvular heart diseases screening using phonocardiogram signals with a lightweight convolutional neural network and self-supervised learning;2024;Computer Methods and Programs in Biomedicine;243;0;10.1016/j.cmpb.2023.107906;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176279374&doi=10.1016%2fj.cmpb.2023.107906&partnerID=40&md5=2dcf4c411ef411ba721af86bf625c4f1;School of Biomedical Sciences, Li Ka Shing Faculty of Medicine, The University of Hong Kong, Hong Kong SAR, Pokfulam, Hong Kong--Laboratory of Data Discovery for Health Limited (D24H), Hong Kong Science Park, Hong Kong SAR, Hong Kong;Background and objectives: Detection and classification of heart murmur using mobile-phone-collected sound is an emerging approach to the scale-up screening of valvular heart disease at a population level. Nonetheless, the widespread adoption of artificial intelligence (AI) methods for this type of mobile health (mHealth) application requires highly accurate and lightweight AI models that can be deployed in consumer-grade mobile devices. This study presents a lightweight deep learning model and a self-supervised learning (SSL) method to utilise unlabelled data to improve the accuracy of valvular heart disease classification using phonocardiogram data. Methods: This study proposes a lightweight convolutional neural network (CNN) that consists of ten times fewer parameters than other deep learning models to classify phonocardiogram data. SSL is applied to harness a large collection of unlabelled data as pre-training to enhance the accuracy and robustness of the model and reduce the number of epochs required to converge. A mobile application prototype that encapsulates the model is developed to perform in-device inference and fine-turning. Results: The proposed lightweight model achieves an average accuracy of 98.65% in 10-fold cross-validation. When coupled with SSL using unlabelled data, the pre-trained model can reach an average accuracy higher than 99.4% in 10-fold cross-validation. Furthermore, SSL-trained models have a 4–20% improvement in classification accuracy over non-SSL-trained models when tested with perturbed or noisy data, suggesting that SSL improves robustness of the model. When deployed on common smartphones, in-device fine-tuning and inference of the model can be completed within 0.03–0.37 s, which is considerably faster than 0.22–5.7 s by a standard CNN model that have ten times the number of parameters. Our lightweight model also consumes only a third of the power compared to the larger standard model. Conclusion: This work presents a lightweight and accurate phonocardiogram classifier that supports near real-time performance on standard mobile devices. © 2023 Elsevier B.V.;Convolutional neural network--Deep learning--Digital health--Mobile health--Self-supervised learning--Valvular heart diseases screening;Algorithms--Artificial Intelligence--Heart Valve Diseases--Humans--Neural Networks, Computer--Supervised Machine Learning--Cardiology--Classification (of information)--Convolution--Convolutional neural networks--Deep neural networks--Diseases--E-learning--Heart--Learning systems--Phonocardiography--Convolutional neural network--Deep learning--Digital health--Disease screening--Heart disease--Learning models--Phonocardiograms--Self-supervised learning--Unlabeled data--Valvular heart disease screening--algorithm--Article--back propagation--binary classification--classification algorithm--classifier--comparative study--controlled study--convolutional neural network--cross validation--deep learning--deep neural network--diagnostic accuracy--edge device compatible algorithm--energy consumption--human--nanoencapsulation--phonocardiography--self supervised learning--valvular heart disease--algorithm--artificial intelligence--artificial neural network--diagnostic imaging--supervised machine learning--valvular heart disease--mHealth;Elsevier Ireland Ltd;37950925;Article;Scopus;2-s2.0-85176279374
