Rank;Sourceid;Title;Type;Issn;SJR Best Quartile;H index;Categories
1;20651;Annual Review of Immunology;journal;15453278,07320580;Q1;317;Immunology (Q1),Immunology and Allergy (Q1)
2;16801;Annual Review of Biochemistry;journal;15454509,00664150;Q1;316;Biochemistry (Q1)
3;18434;Cell;journal;928674,10974172;Q1;856;Biochemistry,Genetics and Molecular Biology (miscellaneous) (Q1)
4;18395;Annual Review of Cell and Developmental Biology;journal;15308995,10810710;Q1;233;Cell Biology (Q1),Developmental Biology (Q1)
5;14181;Annual Review of Neuroscience;journal;0147006X,15454126;Q1;256;Neuroscience (miscellaneous) (Q1)
6;22126;Genes and Development;journal;15495477,08909370;Q1;467;Developmental Biology (Q1),Genetics (Q1)
7;18503;Current Opinion in Cell Biology;journal;9550674,18790410;Q1;275;Cell Biology (Q1)
8;18606;Molecular Cell;journal;10974164,10972770;Q1;429;Cell Biology (Q1),Molecular Biology (Q1)
9;20798;Immunity;journal;10974180,10747610;Q1;436;Immunology (Q1),Immunology and Allergy (Q1),Infectious Diseases (Q1)
10;29431;Quarterly Journal of Economics;journal;335533,15314650;Q1;292;Economics and Econometrics (Q1)
11;26978;Advances in Physics;journal;14606976,00018730;Q1;121;Condensed Matter Physics (Q1)
12;21706;Annual Review of Genetics;journal;15452948,00664200;Q1;195;Genetics (Q1)
13;24004;Physiological Reviews;journal;15221210,00319330;Q1;373;Medicine (miscellaneous) (Q1),Molecular Biology (Q1),Physiology (Q1),Physiology (medical) (Q1)
14;27165;Journal of Economic Literature;journal;220515;Q1;173;Economics and Econometrics (Q1)
15;18990;Nature Genetics;journal;10614036,15461720;Q1;621;Genetics (Q1)
16;20278;Microbiology and Molecular Biology Reviews;journal;10985557,10922170;Q1;267;Immunology and Microbiology (miscellaneous)  (Q1),Molecular Biology (Q1)
17;17978;Neuron;journal;10974199,08966270;Q1;511;Neuroscience (miscellaneous) (Q1)
18;19014;Nature Cell Biology;journal;14764679,14657390;Q1;396;Cell Biology (Q1)
19;23571;Science;journal;10959203,00368080;Q1;1283;History and Philosophy of Science (Q1),Multidisciplinary (Q1)
20;17435;EMBO Journal;journal;2614189,14602075;Q1;417;Biochemistry,Genetics and Molecular Biology (miscellaneous) (Q1),Immunology and Microbiology (miscellaneous)  (Q1),Medicine (miscellaneous) (Q1),Molecular Biology (Q1),Neuroscience (miscellaneous) (Q1)
21;20110;NBER Macroeconomics Annual;book series;15372642,08893370;Q1;68;Economics and Econometrics (Q1)
22;22080;Current Opinion in Genetics and Development;journal;0959437X,18790380;Q1;197;Developmental Biology (Q1),Genetics (Q1)
23;16721;Annual Review of Plant Biology;journal;15452123,15435010;Q1;286;Cell Biology (Q1),Molecular Biology (Q1),Physiology (Q1),Plant Science (Q1)
24;18555;Journal of Cell Biology;journal;15408140,00219530;Q1;405;Cell Biology (Q1),Medicine (miscellaneous) (Q1)
25;29719;Reviews of Modern Physics;journal;346861,15390756;Q1;372;Physics and Astronomy (miscellaneous) (Q1)
26;14816;Trends in Biochemical Sciences;journal;13624326,03765067,09680004;Q1;292;Biochemistry (Q1),Molecular Biology (Q1)
27;21206;Nature;journal;14764687,00280840;Q1;1331;Multidisciplinary (Q1)
28;21191;Pharmacological Reviews;journal;15210081,00317000;Q1;247;Molecular Medicine (Q1),Pharmacology (Q1)
29;19479;Annual Review of Pharmacology and Toxicology;journal;15454304,03621640;Q1;218;Pharmacology (Q1),Toxicology (Q1)
30;23340;Chemical Reviews;journal;15206890,00092670;Q1;790;Chemistry (miscellaneous) (Q1)
31;19482;Econometrica;journal;129682,14680262;Q1;213;Economics and Econometrics (Q1)
32;19434;MMWR Recommendations and Reports;journal;10575987,15458600;Q1;151;Epidemiology (Q1),Health Information Management (Q1),Health (social science) (Q1),Health,Toxicology and Mutagenesis (Q1),Medicine (miscellaneous) (Q1)
33;28418;Brookings Papers on Economic Activity;journal;72303,15334465;Q1;93;Business,Management and Accounting (miscellaneous) (Q1),Economics and Econometrics (Q1)
34;12000154482;Annual Review of Biophysics;journal;19361238,1936122X;Q1;169;Biochemistry (Q1),Bioengineering (Q1),Biophysics (Q1),Cell Biology (Q1),Structural Biology (Q1)
35;120008;Annual Review of Physiology;journal;664278,15451585;Q1;228;Physiology (Q1)
36;21272;Journal of Experimental Medicine;journal;221007,15409538;Q1;478;Immunology (Q1),Immunology and Allergy (Q1),Medicine (miscellaneous) (Q1)
37;26651;Annual Review of Astronomy and Astrophysics;book series;15454282,00664150;Q1;200;Astronomy and Astrophysics (Q1),Space and Planetary Science (Q1)
