Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Categories
1;28773;Ca-A Cancer Journal for Clinicians;journal;15424863,00079240;86.091;Q1;198;Hematology (Q1),Oncology (Q1)
2;29431;Quarterly Journal of Economics;journal;335533,15314650;36.73;Q1;292;Economics and Econometrics (Q1)
3;20315;Nature Reviews Molecular Cell Biology;journal;14710072,14710080;34.201;Q1;485;Cell Biology (Q1),Molecular Biology (Q1)
4;18434;Cell;journal;928674,10974172;26.494;Q1;856;Biochemistry,Genetics and Molecular Biology (miscellaneous) (Q1)
5;15847;New England Journal of Medicine;journal;284793,15334406;26.015;Q1;1130;Medicine (miscellaneous) (Q1)
6;15819;Nature Medicine;journal;1546170X,10788956;24.687;Q1;605;Biochemistry,Genetics and Molecular Biology (miscellaneous) (Q1),Medicine (miscellaneous) (Q1)
7;19434;MMWR Recommendations and Reports;journal;10575987,15458600;23.962;Q1;151;Epidemiology (Q1),Health Information Management (Q1),Health (social science) (Q1),Health,Toxicology and Mutagenesis (Q1),Medicine (miscellaneous) (Q1)
8;16115;Nature Biotechnology;journal;15461696,10870160;22.781;Q1;491;Applied Microbiology and Biotechnology (Q1),Bioengineering (Q1),Biomedical Engineering (Q1),Biotechnology (Q1),Molecular Medicine (Q1)
9;21100812243;Nature Reviews Materials;journal;20588437;21.927;Q1;156;Biomaterials (Q1),Electronic,Optical and Magnetic Materials (Q1),Energy (miscellaneous) (Q1),Materials Chemistry (Q1),Surfaces,Coatings and Films (Q1)
10;22697;American Economic Review;journal;28282;21.833;Q1;337;Economics and Econometrics (Q1)
11;12464;Nature Reviews Cancer;journal;1474175X,14741768;20.977;Q1;484;Cancer Research (Q1),Oncology (Q1)
12;21206;Nature;journal;14764687,00280840;20.957;Q1;1331;Multidisciplinary (Q1)
13;24404;Journal of Political Economy;journal;00223808,1537534X;20.643;Q1;207;Economics and Econometrics (Q1)
14;29719;Reviews of Modern Physics;journal;346861,15390756;20.343;Q1;372;Physics and Astronomy (miscellaneous) (Q1)
15;21100812579;Nature Energy;journal;20587546;19.588;Q1;196;Electronic,Optical and Magnetic Materials (Q1),Energy Engineering and Power Technology (Q1),Fuel Technology (Q1),Renewable Energy,Sustainability and the Environment (Q1)
16;18991;Nature Reviews Genetics;journal;14710056,14710060;19.454;Q1;406;Genetics (Q1),Genetics (clinical) (Q1),Molecular Biology (Q1)
17;20425;Nature Reviews Drug Discovery;journal;14741784,14741780;19.423;Q1;370;Drug Discovery (Q1),Medicine (miscellaneous) (Q1),Pharmacology (Q1)
18;23340;Chemical Reviews;journal;15206890,00092670;18.911;Q1;790;Chemistry (miscellaneous) (Q1)
19;21318;Nature Reviews Immunology;journal;14741741,14741730;18.141;Q1;444;Immunology (Q1),Immunology and Allergy (Q1),Medicine (miscellaneous) (Q1)
20;110092;Morbidity and Mortality Weekly Report;journal;01492195,1545861X;16.786;Q1;247;Epidemiology (Q1),Health Information Management (Q1),Health (social science) (Q1),Health,Toxicology and Mutagenesis (Q1),Medicine (miscellaneous) (Q1)
21;18990;Nature Genetics;journal;10614036,15461720;16.732;Q1;621;Genetics (Q1)
22;16036;Administrative Science Quarterly;journal;18392,19303815;16.555;Q1;201;Arts and Humanities (miscellaneous) (Q1),Public Administration (Q1),Sociology and Political Science (Q1)
23;19900191906;Academy of Management Annals;journal;19416520,19416070;15.633;Q1;95;Business and International Management (Q1),Organizational Behavior and Human Resource Management (Q1)
24;17500;Journal of Finance;journal;221082,15406261;15.515;Q1;336;Accounting (Q1),Economics and Econometrics (Q1),Finance (Q1)
25;20651;Annual Review of Immunology;journal;15453278,07320580;15.262;Q1;317;Immunology (Q1),Immunology and Allergy (Q1)
26;71056;MMWR Surveillance Summaries;journal;15458636,15460740;15.178;Q1;114;Epidemiology (Q1),Health Information Management (Q1),Health (social science) (Q1),Health,Toxicology and Mutagenesis (Q1)
27;23350;Chemical Society Reviews;journal;3060012,14604744;15.109;Q1;595;Chemistry (miscellaneous) (Q1)
28;17700156734;Nature Reviews Clinical Oncology;journal;17594782,17594770;14.809;Q1;198;Oncology (Q1)
29;20798;Immunity;journal;10974180,10747610;14.795;Q1;436;Immunology (Q1),Immunology and Allergy (Q1),Infectious Diseases (Q1)
30;16590;Lancet,The;journal;01406736,1474547X;14.607;Q1;855;Medicine (miscellaneous) (Q1)
31;26651;Annual Review of Astronomy and Astrophysics;book series;15454282,00664150;14.486;Q1;200;Astronomy and Astrophysics (Q1),Space and Planetary Science (Q1)
32;24202;Review of Economic Studies;journal;00346527,1467937X;14.432;Q1;158;Economics and Econometrics (Q1)
33;21100778827;Nature Methods;journal;15487091,15487110;14.358;Q1;363;Biochemistry (Q1),Biotechnology (Q1),Cell Biology (Q1),Molecular Biology (Q1)
34;6200180159;World Psychiatry;journal;17238617;14.306;Q1;125;Psychiatry and Mental Health (Q1)
35;17900156715;IEEE Communications Surveys and Tutorials;journal;1553877X;14.248;Q1;240;Electrical and Electronic Engineering (Q1)
36;17854;Nature Materials;journal;14764660,14761120;13.874;Q1;533;Chemistry (miscellaneous) (Q1),Condensed Matter Physics (Q1),Materials Science (miscellaneous) (Q1),Mechanical Engineering (Q1),Mechanics of Materials (Q1)
37;19300156903;Foundations and Trends in Machine Learning;journal;19358245,19358240;13.775;Q1;36;Artificial Intelligence (Q1),Human-Computer Interaction (Q1),Software (Q1)
38;24004;Physiological Reviews;journal;15221210,00319330;13.693;Q1;373;Medicine (miscellaneous) (Q1),Molecular Biology (Q1),Physiology (Q1),Physiology (medical) (Q1)
39;23571;Science;journal;10959203,00368080;13.328;Q1;1283;History and Philosophy of Science (Q1),Multidisciplinary (Q1)
40;21100862548;Nature Catalysis;journal;25201158;13.187;Q1;110;Biochemistry (Q1),Bioengineering (Q1),Catalysis (Q1),Process Chemistry and Technology (Q1)
41;5200152704;Nature Nanotechnology;journal;17483387,17483400;13.141;Q1;395;Atomic and Molecular Physics,and Optics (Q1),Bioengineering (Q1),Biomedical Engineering (Q1),Condensed Matter Physics (Q1),Electrical and Electronic Engineering (Q1),Materials Science (miscellaneous) (Q1),Nanoscience and Nanotechnology (Q1)
42;19482;Econometrica;journal;129682,14680262;12.979;Q1;213;Economics and Econometrics (Q1)
43;27165;Journal of Economic Literature;journal;220515;12.966;Q1;173;Economics and Econometrics (Q1)
44;19900191767;American Economic Journal: Applied Economics;journal;19457790,19457780;12.694;Q1;100;Economics,Econometrics and Finance (miscellaneous) (Q1)
45;29093;Cancer Cell;journal;15356108,18783690;12.578;Q1;378;Cancer Research (Q1),Cell Biology (Q1),Oncology (Q1)
46;17500155114;Energy and Environmental Science;journal;17545692,17545710;12.306;Q1;408;Environmental Chemistry (Q1),Nuclear Energy and Engineering (Q1),Pollution (Q1),Renewable Energy,Sustainability and the Environment (Q1)
47;21100834904;Joule;journal;25424351;12.282;Q1;153;Energy (miscellaneous) (Q1)
48;12354;Lancet Oncology,The;journal;14702045,14745490;12.27;Q1;382;Oncology (Q1)
49;16161;Review of Financial Studies;journal;14657368,08939450;12.239;Q1;218;Accounting (Q1),Economics and Econometrics (Q1),Finance (Q1)
50;17436;Nature Neuroscience;journal;10976256,15461730;12.124;Q1;460;Neuroscience (miscellaneous) (Q1)
51;26978;Advances in Physics;journal;14606976,00018730;12.034;Q1;121;Condensed Matter Physics (Q1)
52;28711;Annals of Oncology;journal;15698041,09237530;11.945;Q1;277;Hematology (Q1),Medicine (miscellaneous) (Q1),Oncology (Q1)
53;5700165152;Nature Photonics;journal;17494885;11.774;Q1;362;Atomic and Molecular Physics,and Optics (Q1),Electronic,Optical and Magnetic Materials (Q1)
54;28677;Living Reviews in Relativity;journal;14338351,23673610;11.561;Q1;92;Physics and Astronomy (miscellaneous) (Q1)
55;21100780831;Nature Reviews Disease Primers;journal;2056676X;11.388;Q1;155;Medicine (miscellaneous) (Q1)
56;21100220495;Lancet Respiratory Medicine.The;journal;22132619,22132600;11.204;Q1;159;Pulmonary and Respiratory Medicine (Q1)
57;21100860945;Science immunology;journal;24709468;11.191;Q1;90;Immunology (Q1),Immunology and Allergy (Q1)
58;16801;Annual Review of Biochemistry;journal;15454509,00664150;11.154;Q1;316;Biochemistry (Q1)
59;21100826569;Nature Reviews Chemistry;journal;23973358;10.967;Q1;90;Chemical Engineering (miscellaneous) (Q1),Chemistry (miscellaneous) (Q1)
60;21100884663;Nature Electronics;journal;25201131;10.927;Q1;84;Electrical and Electronic Engineering (Q1),Electronic,Optical and Magnetic Materials (Q1),Instrumentation (Q1)
61;21315;Nature Immunology;journal;15292908,15292920;10.921;Q1;424;Immunology (Q1),Immunology and Allergy (Q1)
62;20191;Academy of Management Journal;journal;14273;10.91;Q1;358;Business and International Management (Q1),Business,Management and Accounting (miscellaneous) (Q1),Management of Technology and Innovation (Q1),Strategy and Management (Q1)
63;19900191885;American Economic Journal: Macroeconomics;journal;19457707,19457720;10.871;Q1;75;Economics,Econometrics and Finance (miscellaneous) (Q1)
